DB00OBJ;Feld;Klartext von;Klartext transformieren;negativ;positiv
DB001196.DBF;BST;;;;VST
DB001197.DBF;VST;;;;BST
DB001197.DBF;BST;;;;VST
DB001198.DBF;VST;;;;BST
DB001198.DBF;BST;;;;VST
DB001199.DBF;VST;;;;BST
DB001199.DBF;BST;;;;VST
DB001201.DBF;VST;;;;BST
DB001201.DBF;BST;;;;VST
DB001202.DBF;VST;;;;BST
DB001202.DBF;BST;;;;VST
DB001202.DBF;RABSTBAVST;;;RABSTBAVST;
DB001209.DBF;VST;;;;BST
DB001209.DBF;BST;;;;VST
DB001209.DBF;RABSTBAVST;;;RABSTBAVST;
DB001209.DBF;RLAGEVST;RLAGEVST;142;;
DB001211.DBF;VST;;;;BST
DB001211.DBF;BST;;;;VST
DB001211.DBF;RBEZUG;RBEZUG;674;;
DB001212.DBF;VST;;;;BST
DB001212.DBF;BST;;;;VST
DB001212.DBF;RABSTBAVST;;;RABSTBAVST;
DB001213.DBF;VST;;;;BST
DB001213.DBF;BST;;;;VST
DB001213.DBF;RABSTBAVST;;;RABSTBAVST;
DB001214.DBF;VST;;;;BST
DB001214.DBF;BST;;;;VST
DB001215.DBF;VST;;;;BST
DB001215.DBF;BST;;;;VST
DB001216.DBF;VST;;;;BST
DB001216.DBF;BST;;;;VST
DB001217.DBF;VST;;;;BST
DB001217.DBF;BST;;;;VST
DB001218.DBF;VST;;;;BST
DB001218.DBF;BST;;;;VST
DB001218.DBF;RABSTBAVST;;;RABSTBAVST;
DB001219.DBF;VST;;;;BST
DB001219.DBF;BST;;;;VST
DB001220.DBF;VST;;;;BST
DB001220.DBF;BST;;;;VST
DB001227.DBF;VST;;;;BST
DB001227.DBF;BST;;;;VST
DB001227.DBF;RICHTUNG;RICHTUNG;Richtung1227;;
DB001230.DBF;VST;;;;BST
DB001230.DBF;BST;;;;VST
DB001230.DBF;RABSTBAVST;;;RABSTBABST;
DB001230.DBF;RABSTBABST;;;RABSTBAVST;
DB001230.DBF;RLAGEVST;RLAGEVST;142;;
DB001230.DBF;HOEHEBKVST;;;;HOEHEBKBST
DB001230.DBF;HOEHEBKBST;;;;HOEHEBKVST
DB001230.DBF;ABSTFPVST;;;;ABSTFPBST
DB001230.DBF;ABSTFPBST;;;;ABSTFPVST
DB001230.DBF;BREITEUVST;;;;BREITEUBST
DB001230.DBF;BREITEOVST;;;;BREITEOBST
DB001230.DBF;BREITEUBST;;;;BREITEUVST
DB001230.DBF;BREITEOBST;;;;BREITEOVST
DB001231.DBF;VST;;;;BST
DB001231.DBF;BST;;;;VST
DB001231.DBF;RABSTBAVST;;;RABSTBAVST;
DB001231.DBF;RLAGEVST;RLAGEVST;142;;
DB001231.DBF;ABSTFBRAND;;;ABSTFBRAND;
DB001232.DBF;VST;;;;BST
DB001232.DBF;BST;;;;VST
DB001232.DBF;RLAGEVST;RLAGEVST;142;;
DB001234.DBF;VST;;;;BST
DB001234.DBF;BST;;;;VST
DB001234.DBF;RABSTBAVST;;;RABSTBABST;
DB001234.DBF;RABSTBABST;;;RABSTBAVST;
DB001234.DBF;RLAGEVST;RLAGEVST;142;;
DB001236.DBF;VST;;;;BST
DB001236.DBF;BST;;;;VST
DB001236.DBF;RABSTBAVST;;;RABSTBAVST;
DB001236.DBF;RLAGEVST;RLAGEVST;142;;
DB001237.DBF;VST;;;;BST
DB001237.DBF;BST;;;;VST
DB001237.DBF;LAGE;LAGE;603;;
DB001238.DBF;VST;;;;BST
DB001238.DBF;BST;;;;VST
DB001238.DBF;RLAGEVST;RLAGEVST;142;;
DB001239.DBF;VST;;;;BST
DB001239.DBF;BST;;;;VST
DB001239.DBF;RLAGEVST;RLAGEVST;142;;
DB001240.DBF;VST;;;;BST
DB001240.DBF;BST;;;;VST
DB001240.DBF;RLAGEVST;RLAGEVST;142;;
DB001241.DBF;VST;;;;BST
DB001241.DBF;BST;;;;VST
DB001241.DBF;LABSTBAVST;;;RABSTBAVST;
DB001241.DBF;RABSTBAVST;;;LABSTBAVST;
DB001241.DBF;RLAGEVST;RLAGEVST;142;;
DB001242.DBF;VST;;;;BST
DB001242.DBF;BST;;;;VST
DB001242.DBF;LAGEFB;LAGEFB;654;;
DB001242.DBF;LESBARKEIT;LESBARKEIT;639;;
DB001243.DBF;VST;;;;BST
DB001243.DBF;BST;;;;VST
DB001243.DBF;LAGEFB;LAGEFB;654;;
DB001243.DBF;LESBARKEIT;LESBARKEIT;639;;
DB001244.DBF;VST;;;;BST
DB001244.DBF;BST;;;;VST
DB001244.DBF;LAGEFB;LAGEFB;654;;
DB001244.DBF;LESBARKEIT;LESBARKEIT;639;;
DB001246.DBF;VST;;;;BST
DB001246.DBF;BST;;;;VST
DB001246.DBF;GEDREHT;GEDREHT;NullEins;;
DB001247.DBF;VST;;;;BST
DB001247.DBF;BST;;;;VST
DB001247.DBF;INSTATRI;INSTATRI;NullEins;;
DB001248.DBF;VST;;;;BST
DB001248.DBF;BST;;;;VST
DB001248.DBF;LABSTBAVST;;;RABSTBABST;
DB001248.DBF;RABSTBAVST;;;LABSTBABST;
DB001248.DBF;LABSTBABST;;;RABSTBAVST;
DB001248.DBF;RABSTBABST;;;LABSTBAVST;
